timestamp,ip_address,username,password,status
2025-02-05 16:39:25,192.168.1.3,operator,password,Failed
2025-02-05 16:21:58,192.168.1.1,operator,12345,Success
2025-02-05 16:16:08,192.168.1.6,guest,admin,Success
2025-02-05 16:15:09,192.168.1.1,user1,password,Success
2025-02-05 16:15:23,192.168.1.4,user1,welcome,Failed
2025-02-05 15:51:06,192.168.1.2,guest,letmein,Success
2025-02-05 16:29:30,192.168.1.1,root,12345,Success
2025-02-05 16:13:00,192.168.1.5,user1,password,Failed
2025-02-05 16:17:17,192.168.1.5,root,qwerty,Failed
2025-02-05 15:56:42,192.168.1.4,sysadmin,12345,Success
2025-02-05 16:12:38,192.168.1.6,root,12345,Failed
2025-02-05 16:43:17,192.168.1.4,operator,12345,Failed
2025-02-05 16:14:53,192.168.1.6,sysadmin,qwerty,Failed
2025-02-05 16:39:04,192.168.1.3,operator,qwerty,Failed
2025-02-05 15:59:52,192.168.1.6,sysadmin,letmein,Failed
2025-02-05 16:32:50,192.168.1.5,sysadmin,password,Success
2025-02-05 15:54:13,192.168.1.2,user1,welcome,Failed
2025-02-05 16:15:31,192.168.1.2,user1,letmein,Success
2025-02-05 15:57:27,192.168.1.6,user1,letmein,Success
2025-02-05 16:38:15,192.168.1.2,test,12345,Failed
2025-02-05 16:42:54,192.168.1.5,sysadmin,12345,Failed
2025-02-05 16:04:03,192.168.1.3,test,pass123,Failed
2025-02-05 16:09:04,192.168.1.7,test,pass123,Success
2025-02-05 15:46:09,192.168.1.5,operator,qwerty,Success
2025-02-05 16:32:43,192.168.1.7,user1,qwerty,Success
2025-02-05 16:02:12,192.168.1.7,operator,letmein,Success
2025-02-05 16:33:05,192.168.1.4,test,admin,Failed
2025-02-05 16:16:23,192.168.1.7,guest,admin,Success
2025-02-05 16:14:17,192.168.1.2,guest,password,Failed
2025-02-05 15:48:15,192.168.1.5,operator,admin,Failed
2025-02-05 16:13:31,192.168.1.1,operator,admin,Success
2025-02-05 16:11:20,192.168.1.7,admin,pass123,Success
2025-02-05 16:25:48,192.168.1.2,admin,welcome,Failed
2025-02-05 16:16:53,192.168.1.2,user1,pass123,Failed
2025-02-05 16:16:19,192.168.1.7,test,welcome,Success
2025-02-05 16:44:13,192.168.1.7,guest,pass123,Success
2025-02-05 16:02:44,192.168.1.3,user1,pass123,Success
2025-02-05 16:30:37,192.168.1.4,operator,admin,Success
2025-02-05 16:15:56,192.168.1.7,guest,password,Success
2025-02-05 15:53:45,192.168.1.7,root,qwerty,Success
2025-02-05 16:16:35,192.168.1.4,admin,qwerty,Failed
2025-02-05 16:35:18,192.168.1.1,sysadmin,admin,Success
2025-02-05 16:09:16,192.168.1.5,operator,letmein,Success
